Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1871.0824202152721
FDW14,OUT017,1610.64531778204
NCN55,OUT010,1843.2647359010348
FDQ58,OUT017,2581.386110395178
FDY38,OUT027,5076.299237998678
FDH56,OUT046,1938.0857630693317
FDL48,OUT018,668.090814775901
FDC48,OUT027,2800.6349994782604
FDN33,OUT045,1546.2722166577062
FDA36,OUT017,3056.905008233837
FDT44,OUT017,2006.0997462817627
FDQ56,OUT045,1358.4013516723032
NCC54,OUT019,1810.5906837428047
FDU11,OUT049,2063.0999954858603
DRL59,OUT013,956.8693441881015
FDM24,OUT049,2541.4488658612945
FDI57,OUT045,3050.046149464859
DRC12,OUT018,2722.738827454932
NCM42,OUT027,3191.167823539887
FDA46,OUT010,1130.0321665390306
FDA31,OUT013,2778.5109195268096
NCJ31,OUT035,3788.2909819774354
FDG52,OUT046,867.8991763093056
NCL19,OUT019,404.41758579189207
FDS10,OUT035,2988.9095143740087
FDX22,OUT010,1457.620845249889
NCF19,OUT035,989.549955185749
NCE06,OUT046,2516.1623670993713
DRC27,OUT046,3762.1549820128243
FDE21,OUT035,2044.405565440899
NCR42,OUT019,-1241.7337176260698
FDX51,OUT018,2836.6536039368107
NCR06,OUT018,511.454093862392
FDU31,OUT027,4862.57521520996
FDU59,OUT017,2692.088579345689
FDR03,OUT027,4680.395288567955
FDS49,OUT027,2769.8664145097837
FDD48,OUT010,-1.9029093576615423
NCF18,OUT017,3073.719926968699
NCD43,OUT027,3101.892206469757
NCD54,OUT018,1996.7964957650815
FDY19,OUT010,27.670974895943232
NCY54,OUT017,2778.5797150283443
NCL19,OUT018,2024.9082971205567
FDP23,OUT010,1525.1095384739479
FDC26,OUT013,1841.5926202770768
FDR14,OUT010,-942.3246361401244
NCS41,OUT035,2993.120897725054
FDF41,OUT035,3958.8720065568004
FDU34,OUT046,2006.199107257451
DRH11,OUT046,980.0962647398146
FDM03,OUT013,1760.4218245446061
FDS31,OUT017,2995.1408369715814
FDJ20,OUT017,2104.8164510741544
FDV44,OUT027,4427.740578302712
FDG02,OUT049,3073.6033108421834
FDA09,OUT013,2899.6676426805507
FDT04,OUT013,752.0992254619249
FDL58,OUT019,2231.9160861555083
FDE52,OUT045,1492.2755640143857
FDW12,OUT035,2501.1271490455897
FDL51,OUT017,3494.3720068035173
NCY42,OUT027,3664.3216388216797
FDR07,OUT017,1693.6318081210475
FDN40,OUT045,2361.898818471547
FDB35,OUT027,2963.0873532110304
FDA22,OUT017,2718.5131258675206
NCL06,OUT046,4017.9591528743968
FDI35,OUT013,2890.9985703717357
NCW42,OUT045,3358.366804118998
NCX06,OUT049,2909.988492492293
FDC37,OUT027,3197.085477193691
FDZ14,OUT018,1754.0192740256346
DRG49,OUT049,3865.9034676193246
NCG06,OUT045,3881.2458936448215
DRC36,OUT045,2698.7658816801927
FDV21,OUT019,86.91887425873983
FDB53,OUT046,2338.67062933458
DRP47,OUT019,1968.490366470522
FDA14,OUT013,2347.96921903821
DRC24,OUT035,2552.1564464256458
FDW21,OUT018,1446.3722018527553
NCH29,OUT046,1586.4858364277595
FDU58,OUT013,3047.685695892771
FDY27,OUT017,2911.0796405151946
