Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1735.8992719626162
FDW14,OUT017,1262.93882384106
NCN55,OUT010,542.9755395973153
FDQ58,OUT017,2336.349782702703
FDY38,OUT027,5669.163351428568
FDH56,OUT046,1874.4309598591547
FDL48,OUT018,754.5960957264956
FDC48,OUT027,2513.079854666666
FDN33,OUT045,1517.6348566210052
FDA36,OUT017,3035.8932718309834
FDT44,OUT017,1874.4309598591547
FDQ56,OUT045,1349.2029098814232
NCC54,OUT019,542.9755395973153
FDU11,OUT049,2153.3142637362625
DRL59,OUT013,754.5960957264956
FDM24,OUT049,2410.086386585366
FDI57,OUT045,2931.788768720379
DRC12,OUT018,3035.8932718309834
NCM42,OUT027,3175.335988157896
FDA46,OUT010,542.9755395973153
FDA31,OUT013,2736.9684298755183
NCJ31,OUT035,3956.960966486485
FDG52,OUT046,754.5960957264956
NCL19,OUT019,286.4177705128204
FDS10,OUT035,3035.8932718309834
FDX22,OUT010,542.9755395973153
NCF19,OUT035,754.5960957264956
NCE06,OUT046,2662.294636448599
DRC27,OUT046,3956.960966486485
FDE21,OUT035,1874.4309598591547
NCR42,OUT019,130.33349056603777
FDX51,OUT018,2931.788768720379
NCR06,OUT018,637.5735090128753
FDU31,OUT027,5669.163351428568
FDU59,OUT017,2608.146486919832
FDR03,OUT027,5669.163351428568
FDS49,OUT027,2513.079854666666
FDD48,OUT010,286.4177705128204
NCF18,OUT017,3035.8932718309834
NCD43,OUT027,2513.079854666666
NCD54,OUT018,1961.813186982248
FDY19,OUT010,286.4177705128204
NCY54,OUT017,2997.4076790419153
NCL19,OUT018,2559.2529541176473
FDP23,OUT010,542.9755395973153
FDC26,OUT013,1735.8992719626162
FDR14,OUT010,130.33349056603777
NCS41,OUT035,3035.8932718309834
FDF41,OUT035,3956.960966486485
FDU34,OUT046,2153.3142637362625
DRH11,OUT046,876.3205797979801
FDM03,OUT013,1735.8992719626162
FDS31,OUT017,3035.8932718309834
FDJ20,OUT017,2022.5371509615377
FDV44,OUT027,5669.163351428568
FDG02,OUT049,3343.8390911504407
FDA09,OUT013,2736.9684298755183
FDT04,OUT013,637.5735090128753
FDL58,OUT019,542.9755395973153
FDE52,OUT045,1437.1870026666668
FDW12,OUT035,2559.2529541176473
FDL51,OUT017,3628.94806124031
NCY42,OUT027,3175.335988157896
FDR07,OUT017,1517.6348566210052
FDN40,OUT045,2336.349782702703
FDB35,OUT027,2513.079854666666
FDA22,OUT017,2608.146486919832
NCL06,OUT046,4311.576251315788
FDI35,OUT013,3343.8390911504407
NCW42,OUT045,3628.94806124031
NCX06,OUT049,2736.9684298755183
FDC37,OUT027,3175.335988157896
FDZ14,OUT018,2022.5371509615377
DRG49,OUT049,3956.960966486485
NCG06,OUT045,4131.978437869822
DRC36,OUT045,2997.4076790419153
FDV21,OUT019,286.4177705128204
FDB53,OUT046,2410.086386585366
DRP47,OUT019,542.9755395973153
FDA14,OUT013,2559.2529541176473
DRC24,OUT035,2336.349782702703
FDW21,OUT018,1622.919642068967
NCH29,OUT046,1517.6348566210052
FDU58,OUT013,3343.8390911504407
FDY27,OUT017,2736.9684298755183
FDV56,OUT035,1622.919642068967
FDT59,OUT046,3852.7519279569938
FDB23,OUT046,3852.7519279569938
FDR49,OUT045,754.5960957264956
FDB03,OUT010,542.9755395973153
FDN39,OUT045,2608.146486919832
FDX02,OUT027,5669.163351428568
FDQ16,OUT027,3175.335988157896
FDU35,OUT018,1517.6348566210052
NCT29,OUT013,2153.3142637362625
FDZ27,OUT046,754.5960957264956
FDN57,OUT017,1961.813186982248
FDA03,OUT018,2559.2529541176473
FDZ36,OUT045,3035.8932718309834
NCU05,OUT013,1349.2029098814232
FDT39,OUT018,2410.086386585366
FDK60,OUT017,1517.6348566210052
FDZ25,OUT017,2608.146486919832
FDG12,OUT046,2153.3142637362625
DRB01,OUT019,542.9755395973153
NCC43,OUT027,5669.163351428568
FDX13,OUT019,542.9755395973153
FDM22,OUT049,876.3205797979801
FDJ03,OUT027,1378.2631852760744
FDU14,OUT018,3327.9525829268287
FDB33,OUT010,384.48867398374
FDP27,OUT046,3343.8390911504407
FDO38,OUT010,130.33349056603777
FDE28,OUT027,5669.163351428568
FDO27,OUT035,1517.6348566210052
DRL23,OUT027,3175.335988157896
FDS28,OUT046,876.3205797979801
FDX24,OUT013,1437.1870026666668
FDZ02,OUT035,1517.6348566210052
FDL46,OUT045,1874.4309598591547
FDS60,OUT027,5669.163351428568
NCO06,OUT017,552.550210778443
FDO16,OUT035,1349.2029098814232
FDC60,OUT049,1349.2029098814232
FDA48,OUT018,3327.9525829268287
FDZ36,OUT027,5669.163351428568
FDK27,OUT045,2022.5371509615377
FDW23,OUT018,637.5735090128753
FDM14,OUT018,1622.919642068967
FDM14,OUT013,1735.8992719626162
FDW60,OUT018,2736.9684298755183
FDE21,OUT013,1874.4309598591547
NCM42,OUT035,1622.919642068967
FDY59,OUT010,230.00859181286538
DRI49,OUT049,1349.2029098814232
FDT28,OUT019,384.48867398374
FDQ22,OUT018,637.5735090128753
FDR60,OUT049,1349.2029098814232
FDC50,OUT019,230.00859181286538
FDV24,OUT013,2336.349782702703
DRF48,OUT010,542.9755395973153
FDQ47,OUT046,552.550210778443
DRN36,OUT049,1517.6348566210052
NCY06,OUT035,1961.813186982248
FDE52,OUT035,1437.1870026666668
NCB54,OUT045,2022.5371509615377
NCF31,OUT035,2336.349782702703
FDJ08,OUT027,5669.163351428568
NCC07,OUT017,1622.919642068967
NCD19,OUT027,1378.2631852760744
FDL46,OUT049,1874.4309598591547
FDM20,OUT045,3956.960966486485
NCI06,OUT010,384.48867398374
DRM11,OUT035,4311.576251315788
NCH07,OUT018,2662.294636448599
FDS23,OUT013,2153.3142637362625
FDO49,OUT018,754.5960957264956
FDS35,OUT049,1103.1862133333336
DRK39,OUT045,1349.2029098814232
DRI39,OUT049,876.3205797979801
FDV04,OUT017,2662.294636448599
NCN14,OUT035,3035.8932718309834
FDH08,OUT013,3852.7519279569938
FDS20,OUT046,3343.8390911504407
FDV40,OUT049,1103.1862133333336
FDZ48,OUT010,230.00859181286538
FDS24,OUT027,2513.079854666666
FDK44,OUT049,2997.4076790419153
FDS48,OUT045,2410.086386585366
FDK26,OUT010,542.9755395973153
FDD23,OUT045,3035.8932718309834
NCH54,OUT017,2662.294636448599
NCP14,OUT010,230.00859181286538
FDM60,OUT010,130.33349056603777
FDV24,OUT017,2410.086386585366
FDH08,OUT018,3327.9525829268287
FDS12,OUT027,3175.335988157896
FDR39,OUT027,5669.163351428568
FDP12,OUT027,1378.2631852760744
DRF60,OUT027,5669.163351428568
FDC09,OUT035,1622.919642068967
FDF50,OUT018,2931.788768720379
FDG28,OUT035,3956.960966486485
NCE19,OUT017,876.3205797979801
NCM53,OUT010,230.00859181286538
NCN18,OUT049,1735.8992719626162
FDF32,OUT035,2931.788768720379
FDF11,OUT013,3956.960966486485
DRI59,OUT049,3852.7519279569938
NCG54,OUT035,2608.146486919832
FDM44,OUT046,1735.8992719626162
FDT57,OUT018,3327.9525829268287
FDV24,OUT046,2410.086386585366
FDI50,OUT019,542.9755395973153
FDS09,OUT035,754.5960957264956
NCC31,OUT027,4117.317712631579
FDQ07,OUT019,542.9755395973153
FDC22,OUT017,3035.8932718309834
FDZ56,OUT046,2608.146486919832
FDZ40,OUT019,130.33349056603777
FDS46,OUT027,3175.335988157896
DRD24,OUT045,1961.813186982248
FDV45,OUT017,3035.8932718309834
FDL26,OUT045,2336.349782702703
FDA56,OUT018,2022.5371509615377
FDN27,OUT046,1874.4309598591547
FDM20,OUT049,3956.960966486485
FDO16,OUT017,1262.93882384106
FDL03,OUT035,2931.788768720379
FDE58,OUT046,1874.4309598591547
FDI02,OUT027,3175.335988157896
NCC55,OUT019,130.33349056603777
FDR03,OUT018,3327.9525829268287
FDB14,OUT017,1262.93882384106
FDR45,OUT013,3956.960966486485
NCN07,OUT017,1961.813186982248
FDM51,OUT019,230.00859181286538
FDT52,OUT027,5669.163351428568
FDL26,OUT046,2336.349782702703
NCZ42,OUT046,3956.960966486485
DRI47,OUT019,384.48867398374
FDW40,OUT013,2153.3142637362625
FDN34,OUT046,2608.146486919832
FDS01,OUT035,2736.9684298755183
NCG55,OUT045,1874.4309598591547
FDC11,OUT035,1349.2029098814232
FDX35,OUT018,3327.9525829268287
NCB06,OUT046,2662.294636448599
FDR09,OUT019,542.9755395973153
FDC53,OUT017,1517.6348566210052
FDY45,OUT013,4131.978437869822
FDA22,OUT010,384.48867398374
FDE02,OUT035,1517.6348566210052
FDW21,OUT045,1622.919642068967
FDV34,OUT046,1103.1862133333336
FDS59,OUT049,1735.8992719626162
NCW17,OUT017,2022.5371509615377
NCK54,OUT046,1874.4309598591547
FDG17,OUT019,542.9755395973153
FDG35,OUT017,2997.4076790419153
FDD08,OUT010,130.33349056603777
NCO07,OUT017,3628.94806124031
FDJ10,OUT010,286.4177705128204
FDW36,OUT017,1622.919642068967
FDW21,OUT010,230.00859181286538
FDY19,OUT017,1874.4309598591547
DRE03,OUT013,754.5960957264956
NCC55,OUT049,637.5735090128753
FDH52,OUT010,130.33349056603777
FDO09,OUT017,4311.576251315788
FDU43,OUT045,3956.960966486485
FDX09,OUT010,384.48867398374
FDH40,OUT019,230.00859181286538
FDW58,OUT017,1622.919642068967
FDC47,OUT017,3852.7519279569938
NCR41,OUT035,1517.6348566210052
DRG49,OUT035,3956.960966486485
FDC52,OUT027,4117.317712631579
FDY13,OUT046,1103.1862133333336
FDY35,OUT013,637.5735090128753
FDI35,OUT017,3035.8932718309834
NCU18,OUT049,2153.3142637362625
FDY33,OUT018,2662.294636448599
FDC15,OUT027,4117.317712631579
FDU01,OUT049,3343.8390911504407
NCU42,OUT046,2608.146486919832
NCV29,OUT018,2736.9684298755183
NCY30,OUT017,3035.8932718309834
FDQ46,OUT049,1735.8992719626162
FDG58,OUT027,4117.317712631579
FDK33,OUT017,3628.94806124031
NCD07,OUT045,1874.4309598591547
NCX29,OUT027,4117.317712631579
NCT42,OUT013,2410.086386585366
DRN59,OUT035,754.5960957264956
FDI44,OUT035,1349.2029098814232
FDA45,OUT049,2736.9684298755183
FDP31,OUT045,1103.1862133333336
FDY01,OUT046,1874.4309598591547
FDT09,OUT018,1961.813186982248
DRH03,OUT027,2513.079854666666
FDA36,OUT018,3035.8932718309834
NCF31,OUT017,2336.349782702703
FDG14,OUT049,2410.086386585366
FDG28,OUT027,5669.163351428568
FDU14,OUT049,4131.978437869822
FDY47,OUT019,286.4177705128204
FDI56,OUT049,1437.1870026666668
DRD01,OUT013,876.3205797979801
FDM22,OUT046,876.3205797979801
FDH33,OUT013,637.5735090128753
DRZ24,OUT013,1874.4309598591547
NCQ38,OUT046,1735.8992719626162
FDO16,OUT027,2513.079854666666
FDU07,OUT027,4117.317712631579
NCB07,OUT013,2931.788768720379
FDU48,OUT045,1961.813186982248
NCM43,OUT045,2608.146486919832
FDR31,OUT010,384.48867398374
DRK49,OUT018,637.5735090128753
NCI30,OUT010,542.9755395973153
DRD60,OUT017,3035.8932718309834
NCG19,OUT046,3956.960966486485
FDH12,OUT035,1622.919642068967
FDM32,OUT035,1437.1870026666668
FDM27,OUT035,2336.349782702703
NCU53,OUT027,4117.317712631579
NCQ18,OUT046,1517.6348566210052
FDS10,OUT013,2736.9684298755183
FDB33,OUT027,4117.317712631579
FDI12,OUT013,1349.2029098814232
NCW42,OUT013,3628.94806124031
NCC06,OUT018,1961.813186982248
FDW02,OUT017,2022.5371509615377
NCD43,OUT017,1622.919642068967
FDM57,OUT018,1262.93882384106
FDA58,OUT017,3956.960966486485
FDK56,OUT046,3343.8390911504407
FDP52,OUT045,3852.7519279569938
FDW20,OUT018,2022.5371509615377
FDS52,OUT049,1735.8992719626162
NCT29,OUT018,2022.5371509615377
NCL54,OUT013,2736.9684298755183
FDC05,OUT045,2931.788768720379
FDF34,OUT035,2931.788768720379
FDP03,OUT027,3175.335988157896
FDD32,OUT010,230.00859181286538
FDZ10,OUT045,2022.5371509615377
FDZ40,OUT035,876.3205797979801
FDD51,OUT018,637.5735090128753
NCY30,OUT019,384.48867398374
FDP58,OUT017,3628.94806124031
FDV49,OUT017,4311.576251315788
FDY24,OUT019,130.33349056603777
NCO55,OUT017,1622.919642068967
FDR13,OUT017,1874.4309598591547
FDS51,OUT017,876.3205797979801
FDP26,OUT045,1622.919642068967
NCB54,OUT027,3175.335988157896
FDF32,OUT017,2931.788768720379
FDN31,OUT018,3035.8932718309834
DRM48,OUT017,552.550210778443
FDN20,OUT049,2608.146486919832
DRL01,OUT046,3852.7519279569938
FDV56,OUT049,1735.8992719626162
DRH13,OUT027,3175.335988157896
FDA03,OUT017,2559.2529541176473
FDF47,OUT027,5669.163351428568
FDX32,OUT046,2559.2529541176473
FDX57,OUT049,1517.6348566210052
NCA30,OUT045,3035.8932718309834
FDO49,OUT013,754.5960957264956
FDL04,OUT019,230.00859181286538
DRM48,OUT035,552.550210778443
FDR16,OUT013,3628.94806124031
NCC19,OUT018,3035.8932718309834
NCE42,OUT045,3956.960966486485
FDY24,OUT017,876.3205797979801
FDH19,OUT049,2736.9684298755183
FDJ46,OUT013,2997.4076790419153
FDN45,OUT010,542.9755395973153
FDY08,OUT035,1961.813186982248
FDZ37,OUT035,1349.2029098814232
NCT30,OUT045,754.5960957264956
DRY23,OUT018,637.5735090128753
NCZ30,OUT018,2022.5371509615377
FDC44,OUT018,1874.4309598591547
FDB45,OUT035,1622.919642068967
FDY04,OUT013,2608.146486919832
FDM27,OUT046,2662.294636448599
FDZ43,OUT017,3956.960966486485
FDT39,OUT019,384.48867398374
NCC06,OUT019,286.4177705128204
FDL15,OUT027,4117.317712631579
FDL57,OUT017,4131.978437869822
FDU08,OUT046,1517.6348566210052
FDK40,OUT017,4311.576251315788
FDQ12,OUT010,542.9755395973153
FDS48,OUT017,2410.086386585366
FDP09,OUT045,3628.94806124031
FDW21,OUT049,1517.6348566210052
FDY25,OUT035,3035.8932718309834
DRE13,OUT017,1262.93882384106
FDV43,OUT019,130.33349056603777
FDD22,OUT045,1622.919642068967
FDM46,OUT019,230.00859181286538
NCO30,OUT010,542.9755395973153
FDM25,OUT046,2997.4076790419153
NCN41,OUT049,2153.3142637362625
FDU24,OUT045,1437.1870026666668
FDZ50,OUT046,3343.8390911504407
FDP45,OUT013,4131.978437869822
NCM54,OUT045,2022.5371509615377
FDW10,OUT019,384.48867398374
FDP20,OUT017,2022.5371509615377
FDK32,OUT046,2410.086386585366
FDN52,OUT049,1349.2029098814232
FDM58,OUT045,1622.919642068967
FDZ46,OUT027,3175.335988157896
NCA18,OUT018,1874.4309598591547
FDD35,OUT046,2153.3142637362625
NCK31,OUT035,754.5960957264956
FDI40,OUT027,2513.079854666666
FDT50,OUT019,230.00859181286538
NCT06,OUT046,2608.146486919832
FDT31,OUT035,3035.8932718309834
FDT45,OUT049,876.3205797979801
FDT13,OUT045,3035.8932718309834
FDO50,OUT045,1437.1870026666668
NCU18,OUT010,286.4177705128204
NCR54,OUT049,2931.788768720379
NCO18,OUT018,2736.9684298755183
FDU09,OUT045,876.3205797979801
FDT13,OUT018,3035.8932718309834
FDE09,OUT046,1735.8992719626162
NCK53,OUT019,230.00859181286538
FDG45,OUT049,3628.94806124031
DRH15,OUT035,637.5735090128753
FDO21,OUT019,542.9755395973153
FDD14,OUT027,5669.163351428568
FDC09,OUT046,1735.8992719626162
