Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1561.8454973646596
FDW14,OUT017,1464.0535408960286
NCN55,OUT010,576.6026345378467
FDQ58,OUT017,2491.9792600761434
FDY38,OUT027,5868.583486624664
FDH56,OUT046,1947.5018850800525
FDL48,OUT018,747.5401611792207
FDC48,OUT027,2196.7310787651018
FDN33,OUT045,1530.7018935989367
FDA36,OUT017,3055.3174301517715
FDT44,OUT017,1961.9391706083186
FDQ56,OUT045,1444.3602848701735
NCC54,OUT019,576.0641493133295
FDU11,OUT049,2021.1116854690322
DRL59,OUT013,842.1876596922453
FDM24,OUT049,2487.5599251786784
FDI57,OUT045,3109.86970788919
DRC12,OUT018,3053.15362153319
NCM42,OUT027,2894.303998914742
FDA46,OUT010,504.31053285579316
FDA31,OUT013,2867.764999323173
NCJ31,OUT035,3899.8474748509198
FDG52,OUT046,753.3849586412755
NCL19,OUT019,288.94755608509104
FDS10,OUT035,3021.9620378969903
FDX22,OUT010,570.9645002490847
NCF19,OUT035,747.0213838088213
NCE06,OUT046,2549.306960478749
DRC27,OUT046,3906.826894884852
FDE21,OUT035,1947.5018850800525
NCR42,OUT019,132.13117641745205
FDX51,OUT018,3053.15362153319
NCR06,OUT018,661.9125939030388
FDU31,OUT027,5868.583486624664
FDU59,OUT017,2573.3588511229545
FDR03,OUT027,5868.583486624664
FDS49,OUT027,2114.3169016407924
FDD48,OUT010,270.913040378045
NCF18,OUT017,3058.1692111841385
NCD43,OUT027,2853.9073636720677
NCD54,OUT018,2131.2768756642195
FDY19,OUT010,271.224865486372
NCY54,OUT017,2867.764999323173
NCL19,OUT018,2478.984169009257
FDP23,OUT010,575.5972073649098
FDC26,OUT013,1697.196439112945
FDR14,OUT010,132.13117641745205
NCS41,OUT035,3055.3174301517715
FDF41,OUT035,3941.9758802882343
FDU34,OUT046,2021.1116854690322
DRH11,OUT046,941.3382656558852
FDM03,OUT013,1561.8454973646596
FDS31,OUT017,3024.475580854944
FDJ20,OUT017,2021.1116854690322
FDV44,OUT027,5107.336712686762
FDG02,OUT049,3058.1692111841385
FDA09,OUT013,2985.2524780265558
FDT04,OUT013,707.0334926421273
FDL58,OUT019,576.0641493133295
FDE52,OUT045,1499.8922667573058
FDW12,OUT035,2478.984169009257
FDL51,OUT017,3660.9162082997855
NCY42,OUT027,3012.236934463688
FDR07,OUT017,1530.7018935989367
FDN40,OUT045,2489.4529958615526
FDB35,OUT027,2736.3351014139203
FDA22,OUT017,2575.6506831086135
NCL06,OUT046,4070.3386243321547
FDI35,OUT013,3024.475580854944
NCW42,OUT045,3766.6349482046026
NCX06,OUT049,2990.0522048198272
FDC37,OUT027,2863.957411484659
FDZ14,OUT018,2021.1116854690322
DRG49,OUT049,3912.3043170619367
NCG06,OUT045,4044.351680797842
DRC36,OUT045,2867.764999323173
FDV21,OUT019,280.7429392744667
FDB53,OUT046,2487.5599251786784
DRP47,OUT019,575.629797851307
FDA14,OUT013,2485.730877736134
DRC24,OUT035,2489.4529958615526
FDW21,OUT018,1552.013077744547
NCH29,OUT046,1533.2350700605766
FDU58,OUT013,3058.1692111841385
FDY27,OUT017,2898.3455799595854
FDV56,OUT035,1563.9004529673152
FDT59,OUT046,3812.281767359002
FDB23,OUT046,3773.3790914419474
FDR49,OUT045,739.2931480155852
FDB03,OUT010,576.6026345378467
FDN39,OUT045,2575.6506831086135
FDX02,OUT027,5868.583486624664
FDQ16,OUT027,2863.957411484659
FDU35,OUT018,1538.0030927227945
NCT29,OUT013,2021.1116854690322
FDZ27,OUT046,753.3849586412755
FDN57,OUT017,2029.0536630757322
FDA03,OUT018,2485.730877736134
FDZ36,OUT045,3055.3174301517715
NCU05,OUT013,1467.280551827622
FDT39,OUT018,2487.5599251786784
FDK60,OUT017,1530.7018935989367
FDZ25,OUT017,2766.067030571975
FDG12,OUT046,2021.1116854690322
DRB01,OUT019,501.26603569341887
NCC43,OUT027,5868.583486624664
FDX13,OUT019,575.629797851307
FDM22,OUT049,871.9247937247382
FDJ03,OUT027,1038.4944859395378
FDU14,OUT018,3803.61127945298
FDB33,OUT010,379.21158558158305
FDP27,OUT046,3058.1692111841385
FDO38,OUT010,160.10575087809104
FDE28,OUT027,5868.583486624664
FDO27,OUT035,1530.7018935989367
DRL23,OUT027,2861.5750851897874
FDS28,OUT046,941.3382656558852
FDX24,OUT013,1539.7329581134702
FDZ02,OUT035,1530.7018935989367
FDL46,OUT045,1947.5018850800525
FDS60,OUT027,4777.612234206189
NCO06,OUT017,656.5266481775328
FDO16,OUT035,1440.2673029469747
FDC60,OUT049,1464.0535408960286
FDA48,OUT018,3520.4186052547066
FDZ36,OUT027,5100.072817307677
FDK27,OUT045,2021.1116854690322
FDW23,OUT018,658.2442087392135
FDM14,OUT018,1661.7569453539993
FDM14,OUT013,1561.8454973646596
FDW60,OUT018,2893.3299903086368
FDE21,OUT013,1942.4437471384433
NCM42,OUT035,1563.9004529673152
FDY59,OUT010,224.78195337636447
DRI49,OUT049,1356.360460930003
FDT28,OUT019,367.6117266017564
FDQ22,OUT018,660.0690287715041
FDR60,OUT049,1305.170273309222
FDC50,OUT019,230.76793687571356
FDV24,OUT013,2487.5599251786784
DRF48,OUT010,486.2327364822893
FDQ47,OUT046,667.6017712564302
DRN36,OUT049,1533.2350700605766
NCY06,OUT035,2024.0149924264222
FDE52,OUT035,1499.8922667573058
NCB54,OUT045,2024.0149924264222
NCF31,OUT035,2489.4529958615526
FDJ08,OUT027,5124.502088278704
NCC07,OUT017,1559.319746971493
NCD19,OUT027,1210.731721791006
FDL46,OUT049,1976.0808703099217
FDM20,OUT045,3924.812338886989
NCI06,OUT010,452.41096405342176
DRM11,OUT035,4087.4863086626783
NCH07,OUT018,2534.999340236949
FDS23,OUT013,2026.8884923874773
FDO49,OUT018,744.7924469014444
FDS35,OUT049,1067.610899827542
DRK39,OUT045,1403.8938791733751
DRI39,OUT049,927.4666769132683
FDV04,OUT017,2534.999340236949
NCN14,OUT035,3055.3174301517715
FDH08,OUT013,3803.5742184452993
FDS20,OUT046,3055.3174301517715
FDV40,OUT049,1136.186919580083
FDZ48,OUT010,260.63614892068233
FDS24,OUT027,2579.4942922732325
FDK44,OUT049,2867.764999323173
FDS48,OUT045,2487.5599251786784
FDK26,OUT010,488.0831177559432
FDD23,OUT045,3058.1692111841385
NCH54,OUT017,2549.306960478749
NCP14,OUT010,243.83296012874152
FDM60,OUT010,132.13117641745205
FDV24,OUT017,2487.5599251786784
FDH08,OUT018,3601.814057471968
FDS12,OUT027,2992.8979661363455
FDR39,OUT027,4852.656594372817
FDP12,OUT027,965.8906788178949
DRF60,OUT027,5868.583486624664
FDC09,OUT035,1557.0947824236
FDF50,OUT018,3057.9892264579707
FDG28,OUT035,3925.711673228521
NCE19,OUT017,913.6515164989344
NCM53,OUT010,254.9280589431518
NCN18,OUT049,1678.9618455911104
FDF32,OUT035,3127.896078148131
FDF11,OUT013,3882.084375534987
DRI59,OUT049,3769.570144191211
NCG54,OUT035,2766.067030571975
FDM44,OUT046,1552.013077744547
FDT57,OUT018,3666.566833208801
FDV24,OUT046,2487.5599251786784
FDI50,OUT019,576.0641493133295
FDS09,OUT035,766.9527342927581
NCC31,OUT027,4095.5433961895205
FDQ07,OUT019,576.0641493133295
FDC22,OUT017,3058.1692111841385
FDZ56,OUT046,2766.067030571975
FDZ40,OUT019,132.13117641745205
FDS46,OUT027,2941.2426180110724
DRD24,OUT045,2040.1686605370242
FDV45,OUT017,3058.1692111841385
FDL26,OUT045,2491.9792600761434
FDA56,OUT018,2021.1116854690322
FDN27,OUT046,1950.3634432225847
FDM20,OUT049,3913.4672709894776
FDO16,OUT017,1401.0116507888656
FDL03,OUT035,3058.1692111841385
FDE58,OUT046,1947.5018850800525
FDI02,OUT027,2916.0936041921905
NCC55,OUT019,132.13117641745205
FDR03,OUT018,3268.7553458775906
FDB14,OUT017,1518.1212384204055
FDR45,OUT013,3893.707423068386
NCN07,OUT017,2026.8884923874773
FDM51,OUT019,246.76787467731262
FDT52,OUT027,5868.583486624664
FDL26,OUT046,2489.4529958615526
NCZ42,OUT046,3889.0548304355452
DRI47,OUT019,367.62773068600086
FDW40,OUT013,2048.376951022947
FDN34,OUT046,2766.067030571975
FDS01,OUT035,2918.477976508219
NCG55,OUT045,1939.8473278444526
FDC11,OUT035,1451.9439603521846
FDX35,OUT018,3576.3910706031998
NCB06,OUT046,2539.1043220613237
FDR09,OUT019,575.629797851307
FDC53,OUT017,1530.7018935989367
FDY45,OUT013,4020.109124899149
FDA22,OUT010,387.91036009277474
FDE02,OUT035,1530.7018935989367
FDW21,OUT045,1552.013077744547
FDV34,OUT046,1146.167986556959
FDS59,OUT049,1563.9004529673152
NCW17,OUT017,2024.0149924264222
NCK54,OUT046,1947.5018850800525
FDG17,OUT019,576.0641493133295
FDG35,OUT017,2867.764999323173
FDD08,OUT010,132.13117641745205
NCO07,OUT017,3658.8419158830757
FDJ10,OUT010,283.08371405765575
FDW36,OUT017,1557.0947824236
FDW21,OUT010,241.09591152142565
FDY19,OUT017,1950.3634432225847
DRE03,OUT013,796.0556649447947
NCC55,OUT049,667.0615485162443
FDH52,OUT010,134.4809843609279
FDO09,OUT017,4068.4812235047652
FDU43,OUT045,3902.4507483766197
FDX09,OUT010,425.22617614538575
FDH40,OUT019,197.0184225943668
FDW58,OUT017,1557.0947824236
FDC47,OUT017,3791.7941457279217
NCR41,OUT035,1530.7018935989367
DRG49,OUT035,3926.3068165081536
FDC52,OUT027,4088.8595318561065
FDY13,OUT046,1160.5878425442522
FDY35,OUT013,715.0281081124391
FDI35,OUT017,3049.4238705034327
NCU18,OUT049,2048.376951022947
FDY33,OUT018,2534.999340236949
FDC15,OUT027,4163.821438890821
FDU01,OUT049,3055.3174301517715
NCU42,OUT046,2766.067030571975
NCV29,OUT018,2893.3299903086368
NCY30,OUT017,3055.3174301517715
FDQ46,OUT049,1697.196439112945
FDG58,OUT027,4095.5433961895205
FDK33,OUT017,3660.9162082997855
NCD07,OUT045,1937.5353782409331
NCX29,OUT027,4054.3836661809746
NCT42,OUT013,2487.5599251786784
DRN59,OUT035,736.5135367857442
FDI44,OUT035,1309.7763812222515
FDA45,OUT049,2898.3455799595854
FDP31,OUT045,1062.7287165885793
FDY01,OUT046,1937.5353782409331
FDT09,OUT018,2029.0536630757322
DRH03,OUT027,2831.551193412142
FDA36,OUT018,3050.301840500823
NCF31,OUT017,2489.4529958615526
FDG14,OUT049,2487.5599251786784
FDG28,OUT027,5868.583486624664
FDU14,OUT049,4011.258403164591
FDY47,OUT019,284.6828148610726
FDI56,OUT049,1499.8922667573058
DRD01,OUT013,1003.8025158040241
